mag,z,vel,lum_dist
24.1,0.839,251525,4782.0
25.61,1.01,302790,9603.0
23.08,0.521,156191,2990.0
22.8,0.475,142401,2636.0
24.58,0.95,284802,5982.0
25.72,1.3,389730,10080.0
25.44,1.305,391229,8872.0
21.26,0.216,64755,1292.0
23.79,0.735,220347,4153.0
24.9,1.14,341763,6909.0
26.11,1.307,391828,12080.0
25.64,1.265,379237,9746.0
23.84,0.67,200860,4252.0
23.62,0.64,191867,3845.0
25.77,1.34,401721,10320.0
24.21,0.84,251825,5045.0
24.24,0.935,280305,5106.0
24.97,0.953,285702,7157.0
25.27,1.124,336966,8194.0
23.21,0.552,165485,3178.0
23.68,0.671,201160,3948.0
23.07,0.511,153193,2984.0
24.94,1.03,308786,7047.0
25.16,1.192,357352,7794.0
24.71,1.092,327373,6332.0
24.53,0.974,291997,5846.0
25.33,1.11,332769,8415.0
25.53,1.35,404719,9234.0
24.19,0.85,254823,4999.0
25.28,1.241,372042,8248.0
25.5,1.414,423906,9136.0
25.31,1.188,356153,8347.0
24.99,1.017,304888,7224.0
25.67,1.315,394227,9869.0
24.34,0.821,246129,5348.0
25.95,1.215,364247,11200.0
23.21,0.623,186770,3183.0
